Author	DOB
Jan Lampo	1957
Joris Denoo	6 juli 1953
Frank Verkuijl	1958
Martien Kappers	20ste eeuw
Johan de Boose	3 mei 1962
Else Lasker-Schüler	1869
H.C. Halberstadt-Freud	20ste eeuw
Joke J. Hermsen	29 juli 1961
Lut Missinne	1960
Thomas Leeflang	1936
Karen Vintges	1953
Christa Stevens	20ste eeuw
Antoine Verbij	25 juni 1951
Winnie Sorgdrager	1948
G.M. Hopkins	28 juli 1844
W. Bronzwaer	15 mei 1936
Rudy Bremer	1936
Saint-John Perse	1875
Les Murray	17 oktober 1938
Claude van de Berge	30 april 1945
Monica Soeting	1955
Philippe Sollers	28 november 1936
Leonard Beuger	1949
Hans Achterhuis	1 mei 1942
Mark Boog	24 september 1970
Graciliano Ramos	27 oktober 1892
Gerard Nienhuis	1944
André Schmitz	17 augustus 1929
Josef Winkler	1953
Seamus Heaney	13 april 1939
Jan Eijkelboom	1 maart 1926
Bora Cosic	5 april 1932
Nina Zivancevic	1957
Danijel Dragojevic	28 januari 1934
Slobodan Blagojevic	1951
David Albahari	1948
Miroslav Mandic	1949
Dragan Velikic	1953
Ivan Lovrenovic	1943
Bogdan Bogdanovic	20 augustus 1922
Roel Schuyt	1948
Mattijs van de Port	1961
Ariejan Korteweg	1955
Zoran Djukanovic	18 maart 1955
Rüdiger Safranski	1945
Joost Niemöller	25 februari 1957
Thomas Rosenboom	8 januari 1956
Magnus Hisrschfeld	1868
Edouard Roditi	1910
Dieter Hülsmanns	1940
Erik Zürcher	13 september 1928
Maghiel van Crevel	1963
Chuan Xi	1963
Peter Buwalda	30 december 1971
O. Hammerstein	1954
Martijn van Calmthout	1961
Yücel Yesilgöz	1951
Ankie Lempens	20ste eeuw
Ole Bouman	1960
Menno Tamminga	1957
Jos de Wit	1954
Hein Groen	1945
Jan Heemstra	1957
Marc Schoorl	1962
Herman Koch	1953
Koen Peeters	9 maart 1959
Pol Hoste	25 maart 1947
Leon Gommers	16 mei 1958
Russell Artus	14 juni 1969
Peter Theunynck	24 september 1960
Erik Menkveld	25 april 1959
Eric de Kuyper	2 september 1942
Wim Hottentot	1948
Peter Verstraten	1967
Basha Faber	1941
Klaus Theweleit	1942
Manon Uphoff	20 december 1962
Gert Hekma	1951
Leo Steinberg	9 juli 1920
Yukio Mishima	14 januari 1925
Jacques Westerhoven	1947
Jantine Oldersma	20ste eeuw
Wislawa Szymborska	2 juli 1923
Gerard Rasch	1946
Felicitas Hoppe	1960
C.F. van Beusekom	1940
Sven Danner	3 augustus 1946
Sjaak Koenis	1955
Kees 't Hart	12 juli 1944
Pam Emmerik	1964
Joke van Leeuwen	24 september 1952
Hedda Martens	1947
Charles Simic	1938
Michael Eenhoorn	19 juni 1949
William T. Vollmann	1959
Nicolaas Matsier	25 mei 1945
Oek de Jong	4 oktober 1952
Alain Robbe-Grillet	18 augustus 1922
Els Broeksma-van Capelle	20ste eeuw
Bart Verschaffel	1956
Karl Krolow	11 maart 1915
René Boomkens	18 september 1954
Paul Scheffer	1954
Geert van Istendael	29 maart 1947
Henk van Renssen	1971
Marlene Dumas	3 augustus 1953
Gavin Jantjes	20ste eeuw
Michael Ignatieff	20ste eeuw
Ashok Bhalotra	1943
Paul Gilroy	20ste eeuw
Herman de Coninck	21 februari 1944
Hugo Bousset	1942
Yra van Dijk	1970
Goffe Jensma	1956
Koen Koch	30 juni 1945
Rinus Ferdinandusse	28 november 1931
Roelof Haveman	20ste eeuw
Marjan Wijers	20ste eeuw
Jan Willem Duyvendak	12 mei 1959
L. Laeyendecker	1930
Yves van Kempen	15 februari 1944
Joyce Outshoorn	1944
Wouter Vanstiphout	1967
Harry Oosterhuis	20ste eeuw
Chris Rutenfrans	1953
Tom Schalken	20ste eeuw
Pamela Koevoets	11 mei 1946
Rob Schouten	22 februari 1954
W.H. Auden	21 februari 1907
Ciaran Carson	9 oktober 1948
Frits Abrahams	26 juni 1946
Ed van Thijn	16 augustus 1934
Maria Stahlie	2 juli 1955
John Jansen van Galen	1940
Mirjam Schöttelndreier	1959
Thijs Wöltgens	30 november 1943
Ido de Haan	1963
Stella Braam	1962
Irene Costera Meijer	1956
Jos de Putter	1959
Arnon Grunberg	22 februari 1971
Helga Ruebsamen	4 september 1934
Michael Frijda	1 september 1961
Maarten Elzinga	1957
Chris Lorenz	1950
Jos van der Lans	1954
Jeroen Onstenk	1952
Kees Vreugdenhil	1936
Charles Reznikoff	31 augustus 1894
Jules Laforgue	1860
Matsuo Basho	1644
Mukai Kyorai	1651
Nazawa Boncho	1640
Fumikuni Nakamura	17de eeuw
Gregor Laschen	1941
Lennart Sjögren	1930
Theodore Roethke	25 mei 1908
Ria Loohuizen	20ste eeuw
Ernst Jandl	1925
Adolf Wölfli	1864
Joannes Six van Chandelier	19 februari 1620
Martin Reints	5 april 1950
Johannes Bobrowski	9 april 1917
Ted Hughes	17 augustus 1930
Caroline Lamarche	1955
Bibiana Mikkelsen	1882
Arnaq Grove	20ste eeuw
Stine Jensen	1972
Hein-Anton van der Heijden	1950
Godert Posthumus	1933
Bart Moeyaert	9 juni 1964
Tayeb Mokeddem	1956
Pierre Michon	1945
Rokus Hofstede	1959
David Foster Wallace	1962
Göran Tunström	1937
Bertie van der Meij	1952
Marcel Beyer	23 november 1965
Wil Hansen	20ste eeuw
Durs Grünbein	1962
Sasbout Beukelsz. v.d. Burch	1553
P.C. Verveen	16de eeuw
Mirna Velcic-Canivez	
Pim van Tol	1967
Armand van Assche	17 september 1940
Bob Baljet	18 september 1945
K. van Berkel	24 juli 1953
Marijke Besselink	1961
Fred Dijs	1951
Otto Egberts	11 augustus 1949
Roelof van Gelder	1948
Tijs Goldschmidt	30 januari 1953
Harm Habing	1937
Hubert-Jan Henket	1940
Wim Hofman	2 februari 1941
Frederike Huygen	1956
Aad Kosto	1938
Reinier Lucassen	1939
Fred Pelt	20ste eeuw
Marieke Sanders-ten Holte	20ste eeuw
Gary Schwartz	1940
B. Sliggers	1948
Jan Tromp	1949
R.P.W. Visser	1942
Bart Vos	7 april 1951
J.H. van der Waals	20ste eeuw
Aryeh Lev Stollman	
Babet Mossel	1948
Matthé Sjamaar	 1938
Huib Schwab	
Raj Kamal Jha	 1966
Jelle Noorman	1964
Gijs van Oenen	 1959
Koedooder & Heilig	 20ste eeuw
Derek Walcott	23 januari 1930
Jacob ter Veldhuis	1951
Hans Onno van den Berg	25 augustus 1947
Gustav Herling	20 mei 1919
Peter-Paul Verbeek	6 december 1970
Petran Kockelkoren	 20ste eeuw
René Puthaar	 1964
Erwin Mortier	28 november 1965
Martin Bril	21 oktober 1959
Simon Frith	 20ste eeuw
Pieter Cramer	20ste eeuw
Wouter Klootwijk	9 augustus 1945
Ivan Nio	 1965
Arjan Witte	24 november 1961
Ko Kooman	20ste eeuw
Peter Holvoet-Hanssen	12 april 1960
Max Beckmann	12 februari 1884
Thomas Vaessens	17 november 1967
José van Dijck	 20ste eeuw
Brady Udall	 20ste eeuw
Bert Meelker	20ste eeuw
Robert Gernhardt	 1937
Gerrie Bruil	20ste eeuw
Joost Zwagerman	18 november 1963
Anton van de Wardt	 1939
Jonathan Treitel	 20ste eeuw
M.E. Belpaire	31 januari 1853
Paul Alberdingk Thijm	21 oktober 1827
Jan Lodewijk Mercelis	4 januari 1857
Hilda Ram	31 oktober 1858
Hector Claeys	18 december 1855
August Cuppens	22 mei 1862
Gustaaf Verriest sr.	20 mei 1843
Hugo Verriest	25 november 1840
Henri Donders	1870
Eug. de Lepeleer	1856
A.M.J.I. Binnewiertz	1870
Alfons Jozef Maria Janssens	16 oktober 1841
Delfien Vanhaute	2 september 1869
Jaak Muyldermans	8 september 1855
Omer Karel de Laey	13 september 1876
A.W. Sanders van Loo	1860
H.J.A.M. Schaepman	2 maart 1844
Jozef Jacobs	1873
Jan Emiel Vliebergh	24 januari 1872
Prosper van Langendonck	15 maart 1862
Jacob Lenaerts	1862
Aloïs Walgrave	9 februari 1876
Hendrik de Marez	31 januari 1870
Jef Hinderdael	11 maart 1877
Pieter Danco	8 juni 1871
C. van Ongeval	19de eeuw
Paolo Gentili	19de eeuw
A. Dupont	13 juli 1868
Edward van Even	6 december 1821
Lambrecht Lambrechts	24 september 1865
L. Scharpé	24 oktober 1869
Peter Jozef Tijsmans	12 januari 1843
Adriaen Lourisz Lepel	16de eeuw
Desideer Claes	26 december 1836
A.G. Welvaar	19de eeuw
Th. Heidebrand	19de eeuw
A. Weemaes	19de eeuw
Edward de Grijse	16 maart 1848
H. Bischoff	19de eeuw
H. Sermon	17 februari 1834
van der Veur	19de eeuw
Lambert Jageneau	1925
Caesar Gezelle	23 oktober 1875
John Lancaster Spalding	19de eeuw
Jules Persyn	20 april 1878
Ch. Lucas	19de eeuw
Florimond Heuvelmans	2 januari 1858
de Ticheleer	19de eeuw
Leo Goemans	1869
Adolf de Ceuleneer	22 februari 1849
Emiel de Grave	19de eeuw
Mimosa	19de eeuw
A. Habets	19de eeuw
Johannes Romboldus van der Lans	1 juli 1855
August Victor Bultijnck	9 januari 1844
P.C. de Bruyne-Klinkenberg	19de eeuw
Melati van Java	13 januari 1853
Martin Brants	31 januari 1865
Ed. Loos	19de eeuw
Jan Kornelis de Cock	23 oktober 1867
J. Erembout	19de eeuw
Johannes Jörgensen	6 november 1866
Arthur Wenthworth Powell	19de eeuw
Jan Craeynest	1 maart 1858
Louisa Duykers	13 maart 1869
H. van Houtte	31 december 1872
G.H. Haastert	19de eeuw
Alphonse Naert	15 mei 1839
Jan Stuyt	19de eeuw
Eugène Isebaert	19de eeuw
Alfons Mervillie	17 mei 1856
J. Salsmans	2 september 1873
Eugeen Leën	26 juli 1862
P.L. van den Heuvel	19de eeuw
Jaak Boonen	1875
C.P.F. Lecoutere	11 december 1865
Paul Hamélius	26 april 1868
A. Prayon-van Zuylen	19 november 1848
Simonart	 19de eeuw
P. Rutten	 19de eeuw
Constant Eeckels	5 september 1879
Henri W.J. Schouten	19de eeuw
H. de Vocht	 1878
C. Callewaert	13 juli 1827
Lodewijk De Wolf	1 juni 1876
I. Vandegaer	19de eeuw
F. Palmen	 19de eeuw
Lodewijk Dosfel	25 maart 1881
Paul Bellefroid	15 februari 1869
Hubert van Fall-Mheer	 19de eeuw
H. Hosdey	17 augustus 1858
Gustaaf Segers	29 december 1848
Frans van Cauwelaert	10 januari 1880
Jean-Baptiste de Bethune	25 januari 1853
D. Staroger	 19de eeuw
A. Bertang	19de eeuw
Em. van Cappel	6 mei 1877
A. van Eigenleven	 19de eeuw
J.W. van Heeswijk	 19de eeuw
Simon Staf	 19de eeuw
Lodewijk Ontrop	14 december 1875
A. van Wassenhove	19de eeuw
Alfons de Cock	12 januari 1850
Jozef de Voght	18 september 1877
J. Lievens	19de eeuw
J. Kautzen	19de eeuw
Jozef Muls	12 juli 1882
H. Gabriëls	 19de eeuw
F.P. Lorreins	19de eeuw
Eug. vander Heyden	19de eeuw
Lodewijk Vincent Scheltjens	8 december 1861
J. Jacobsen	19de eeuw
Fr. van den Weghe	19de eeuw
B. Adriaansen	19de eeuw
E. Vliebergh	19de eeuw
Emiel Hullebroeck	1878
C. Clerckx	19de eeuw
Franz Mets	19de eeuw
E. van Fraechem	19de eeuw
J. Verest	19de eeuw
Alfons Siffer	21 maart 1850
Joris Eeckhout	29 juli 1887
L. Ghys	19de eeuw
Tom Bruce	19de eeuw
Leo van Nerum	29 december 1874
Dirk van Minden	19de eeuw
A. Carnoy	7 november 1878
Cl. Buvé	19de eeuw
I. de Vreese	19de eeuw
Omer Wattez	9 februari 1857
Albrecht Rodenbach	27 oktober 1856
R. Maere	19de eeuw
W.W. Druenlanders	19de eeuw
Karel Elebaers	27 augustus 1880
Z. Peeters	19de eeuw
A.M. van Kersbeek	19de eeuw
E.J. Mertens	19de eeuw
J. Fischer	19de eeuw
Alfons Moortgat	8 september 1881
Thomas Ryetius	16de eeuw
P. Henneckes	19de eeuw
Th. van Tichelen	2 september 1877
Jan Franssen	19de eeuw
P.J. Stinissen	2 mei 1847
Titus Brandsma	23 februari 1881
Stephanie Vetter	19de eeuw
Fr. Ludovicus Blomme	19de eeuw
D.A. Dyland	19de eeuw
R. Lemaire	1878
L. Noël	19de eeuw
Floris Prims	3 maart 1882
Em. Broes	19de eeuw
Gabriël Verborght	19de eeuw
A. Taelman	19de eeuw
B. van Kesteren	19de eeuw
L. van der Essen	1883
Jan Gessler	8 januari 1878
Felix Timmermans	5 juli 1886
J. van Mollé	19de eeuw
Johannes van Well	1866
Octaaf Steghers	15 januari 1889
E. van Leuven	19de eeuw
Fr. Bertrand	19de eeuw
Julie van der Lans-Russel	1867
Arthur de Vos	19de eeuw
Gerrit Grijns	1865
F. Verhelst	19de eeuw
F. Dewitte	29 mei 1883
H. Coppieters	19de eeuw
Fr. Stanislas	19de eeuw
S.L. van Berne	19de eeuw
Ernest Claes	24 oktober 1885
J. Jos Kempenaers	19de eeuw
J.F. van Olmhof	19de eeuw
Juul Grietens	15 juli 1884
Petrus Dubois	
L. Ghijs	19de eeuw
F. van Calloo	19de eeuw
Theo Brakels	19de eeuw
J. Wagemans	19de eeuw
Jozef de Cock	23 januari 1877
Jules van Nuffel	21 maart 1883
M. Dewickere	10 maart 1875
J.B. Goetstouwers	19de eeuw
J.-J. Symoens	20ste eeuw
V. Voorden	19de eeuw
Emiel Fleerackers	17 april 1877
Ivo Struyf	29 oktober 1876
J. Mansion	1877
L. Delporte	19de eeuw
E. Paque	1850
J. Mees	19de eeuw
Dés. de Kock	19de eeuw
Arthur Meulemans	1884
Gust Doussy	19de eeuw
C.W. van Berkel	19de eeuw
Joseph Feskens	
Frans Delbeke	1890
A. Baert	19de eeuw
P. Petrus M. Janssens	19de eeuw
Arthur Coussens	1 september 1883
Francis Hermans	19de eeuw
O. d' Hose	19de eeuw
P. Bertrand	19de eeuw
J. Stuyck	19de eeuw
Floris de Cuyper	19de eeuw
Albin van Hoonacker	19 oktober 1857
Jozef Arras	26 maart 1890
Jacob Mees	11 juni 1885
K. de Wals	19de eeuw
H. Mansion	19de eeuw
P. Soens	19de eeuw
Gust. Hens	19de eeuw
René Adriaensen	19de eeuw
A. Verstreken	19de eeuw
Jozef Vercoullie	19 april 1857
P. Placidus Eykens	19de eeuw
P. Hildebrand	19de eeuw
Jaak van Rettipo	19de eeuw
F. Michielsens	19de eeuw
Karel van de Vijver	19de eeuw
Berthold Missiaen	29 december 1884
E.H.Hendrik de Vis	19de eeuw
Goevaart	19de eeuw
Leo van Riel	19de eeuw
Aloïs Van Loy	19de eeuw
Armand van Veerdeghem	25 februari 1885
Emiel van der Straeten	27 mei 1887
Jan Bernaerts	7 oktober 1879
H. Brutsaert	19de eeuw
Cyriel de Baere	9 april 1884
P. Janssens	18 augustus 1883
Ivo Cornelis	19de eeuw
Jan Hammenecker	2 oktober 1878
Sam Devriendt	20ste eeuw
George Roose-Antonissen	19de eeuw
P.A. van Rooy	19de eeuw
Léonce Reypens	26 februari 1884
Aug. Bruijnseels	19de eeuw
Camille Poupeye	26 mei 1874
A. van den Dries	19de eeuw
Henri van Deursen	19de eeuw
Jozef Simons	21 mei 1888
Perquy	19de eeuw
A.J. van de Perre	1872
Marcel Romeo Breyne	25 februari 1890
Fernand Toussaint van Boelaere	18 februari 1875
J. de Berraly	19de eeuw
P. de Dura	19de eeuw
D. Logeman-van der Willigen	18 juni 1864
A. van Beirendonck	19de eeuw
Victor Naveau	13 juni 1879
Radvliet	19de eeuw
Chr. Schets	19de eeuw
Jos Pierreux	19 december 1957
Ivo Engelen	1962
E. van Dievoet	19de eeuw
J. Buelens	19de eeuw
Lod. van Mierop	1 januari 1870
A. Lhorijn-Thans	19de eeuw
G. Kurth	1847
Leo van Dorpe	19de eeuw
Jan Job	19de eeuw
Aug. Bruynseels	19de eeuw
Jef Crick	23 oktober 1890
C. van Malten	19de eeuw
L.H. Smeding	19de eeuw
Maria Viola	1 december 1871
Edward Vlietinck	16 maart 1864
Jaap van Manen	20ste eeuw
Raphael Ligtenberg	19de eeuw
H. Pauli	19de eeuw
Rob. Ree	19de eeuw
L. Bril	19de eeuw
Aloïs Janssens	1887
P. Berthold	19de eeuw
Joseph Bittremieux	7 april 1878
C.J. Vierhout	19de eeuw
Cyriel Verschaeve	30 april 1874
Koh-i-noor	19de eeuw
Leo Speet	15 februari 1892
[tijdschrift] Van Onzen Tijd	
J. Caekbeke	19de eeuw
Edward Vermeulen	19 april 1861
Edward van Bergen	6 december 1853
K. Camerman	19de eeuw
Albert van Driessche	16 mei 1885
Paul van Alderman	19de eeuw
Juul Filliaert	14 februari 1890
M. Rutten	18 april 1906
Joost Stokers	19de eeuw
Gery Helderenberg	18 januari 1891
L. Vermeirsch	19de eeuw
Johan van de Natuur	19de eeuw
Joh. van Dinter	1887
Odo Siril	19de eeuw
Filip de Pillecyn	25 maart 1891
Huber Lebon	19de eeuw
J. de Porr	19de eeuw
Lodewijk van Eyck	1 augustus 1892
Joseph Laenen	1871
Maurits van Hoeck	1890
Frans Verschoren	5 maart 1874
Evermar van Moere	1889
J.F.M. Coveliers	6 januari 1893
R. Foncke	1 juli 1889
Florentijn Jan van der Mueren	2 november 1890
V. Willems	20ste eeuw
Owen Feltham	1602
zuster Maria Jozefa	1883
Dirk Vansina	25 mei 1894
René Gaspar	8 maart 1893
Jan Boon	6 januari 1898
Wilhelm Scherer	26 april 1841
Remy Saen	19de eeuw
Joris Caeymaex	18 april 1885
Lambert Aerts	1875
Leo Bittremieux	4 september 1880
Josette Pasquasy	18 augustus 1989
Fritz Francken	17 april 1893
August Nobels	1884
van Huffelen	19de eeuw
A.R. Vincke	19de eeuw
M.R. Pauwels	19de eeuw
Hilaire Allaeys	5 juli 1873
Amaat Vyncke	12 februari 1850
E.D. van Nuffel	19de eeuw
Julius de Wachtere	19de eeuw
Jozef Goethals	19de eeuw
P. Kubben	19de eeuw
J. Coenen	17 januari 1870
Jos. de Roeck	19de eeuw
Constant Lindemans	31 juli 1896
Lynn Doyle	1873
Alexander Elberts	10 oktober 1782
Jan Paquay	19de eeuw
L. Grootaers	9 augustus 1885
A. van Langendonck	19de eeuw
Eva Moltesen-Hällström	19de eeuw
Karel Brants	19de eeuw
Hubert van de Weerd	5 november 1878
Jef Scheirs	23 september 1885
Prosper Poullet	1868
P. Thuysbaert jr.	17 maart 1889
Raynerius Podevijn	19de eeuw
Eugène Joors	20 februari 1850
Hendrik Mande	ca. 1360
Eduard Amter	13 december 1898
Stephanus de Clippele	6 juni 1892
I.S. Toergenjev	1818
Jos. de Klerk	20ste eeuw
Maurits Coomans	1898
A. Geerebaert	1876
Edmond Rubbens	15 januari 1894
Johannes Tauler	
A.L. Corin	2 december 1889
J. van Malderen	19de eeuw
Edw. De Schaepdrijver	19de eeuw
Jozef van Reusel	2 april 1897
Lode Monteyne	21 juni 1886
Jan Bols	9 februari 1842
Anton Van de Velde	8 juli 1895
L. Debruyn	19de eeuw
Frisc over de Heiden	19de eeuw
Karel Pauwels	19de eeuw
B.H. Molkenboer	1879
Frans d'Haese	19de eeuw
Jos Vermeulen	1894
Oscar Monstrey	23 februari 1887
Clemens van der Straeten	21 januari 1887
Jos Spriet	19de eeuw
L. Uten	31 mei 1900
Semper Jejunus	19de eeuw
A. Nagels	19de eeuw
Joseph Coppens	12 oktober 1896
Mirza Riza Viham	19de eeuw
Raphaël M.J. Kreemers	13 januari 1894
Karel van Sull	19de eeuw
L. Seurinck	19de eeuw
J. Rombouts	21 juli 1893
Stephanie Claes-Vetter	25 februari 1884
Arthur Boon	1883
R.V. Mortier	25 september 1875
Eugenius Druwé	19de eeuw
Gérard Philips	1899
J.A. Goris	1899
Charles Gillès de Pélichy	22 juli 1872
J. Heyrman	
Odilon Demarre	1882
Leonie Weckx	19de eeuw
Julius Plancquaert	25 mei 1853
Hilarion Thans	12 januari 1884
Reinier Ysabie	26 september 1898
Odilo Jacobs	19 oktober 1891
J.A. Hallez	4 juni 1881
J.P. Colsen	1883
Vincent Cleerdin	5 juli 1888
C.H. de Ronde	19de eeuw
Joris Baers	3 februari 1888
Th. De Ronde	1894
E.H.J. Bernaerts	19de eeuw
Lydia van Kerckhoven	20ste eeuw
Juliaan De Vriendt	19de eeuw
Alice Nahon	16 augustus 1896
D.F.F.J. Mercier	1851
K.L.M. Schoeters	20ste eeuw
Clemens Daenen	20 april 1901
E. Jaulusz.	19de eeuw
Stan Dietvors	19de eeuw
Huib Hoste	6 februari 1881
Oskar Katann	18 januari 1885
Jac. Weil	1869
Eugeen van Oye	3 juni 1840
Herman Deckers	5 oktober 1888
Mécs Laszló	17 januari 1895
A. Cardyn	20ste eeuw
Richard Dewachter	21 juni 1897
André van Praag	20ste eeuw
Ernest Closson	1870
Jan Chiapusso	2 februari 1890
A.M. Pols	27 december 1893
L. van den Eynde	20ste eeuw
Pierre De Clercq	20ste eeuw
L. de Smet	20ste eeuw
Jozef Uytterhoeven	15 oktober 1890
Léopold Levaux	9 februari 1892
Jos. de Brandt	19de eeuw
Robert Grosche	7 juni 1888
E.H.J. Hallez	20ste eeuw
Huib Luns	6 juni 1881
Constant Godelaine	14 september 1888
August van Boeckxsel	1888
J. Groot	20ste eeuw
A.J. Hallez	20ste eeuw
Edgar Lee Masters	20ste eeuw
Francisque Darcieux	1880
Victorinus Groot	19de eeuw
Adolf ter Haghe	19de eeuw
Jef Notermans	30 april 1898
Pablo Sáenz de Barés	1899
Alfons Ariëns	26 april 1860
Albertine Steenhoff-Smulders	2 november 1871
Rita Hostie	20ste eeuw
F.S. van Bouwdijk Bastiaanse	22 maart 1888
Rob. Roemans	14 april 1904
Theo Cruysse	20ste eeuw
H.J. de Vleeschouwer	9 juli 1899
Marc de Munnynck	2 december 1871
Arnold Sauwen	22 maart 1857
Sigrid Undset	20 mei 1882
O. Praem	20ste eeuw
C. Ldov	19de eeuw
Maurits S.C.M. Molenaar	12 december 1886
Robert van Passen	1895
Jeanne de Bruyn	4 maart 1902
Frans de Wilde	18 oktober 1889
Theodoor Belpaire	19de eeuw
Gottfried Hasenkamp	12 maart 1902
Gabriël Merlier	19de eeuw
Paul Van de Woestijne	4 januari 1905
Pol Douliez	19de eeuw
Hildegard van Bingen	1098
Aimé de Marest	19 juni 1898
C. Vervaever	19de eeuw
J.F.J. van Tol	2 januari 1895
Pol Heyns	17 oktober 1906
G. van Mulders	19de eeuw
Christian Rimestad	30 januari 1878
Johan Oskar Larsen	19de eeuw
Valfrid Palmgren	3 juni 1877
Erik Jespersen	19de eeuw
Jörgen Bukdahl	8 december 1896
Joh. Nordahl-Olsen	1876
Karl Madson	19de eeuw
Erling Lauhn	7 september 1896
Peder Gram	25 november 1881
Selma Lagerlöf	28 november 1858
Karl Gustav Ossianilsson	30 juli 1875
Edvard Welle-Strand	1 mei 1884
Theo Findahl	24 februari 1891
Pertinax	18 oktober 1882
R. van Pottelbergh	19de eeuw
F.A. Vercammen	22 juni 1896
Jan Bloem	20ste eeuw
A. Mansion	20ste eeuw
G. van Overbeke	20ste eeuw
Ruth Schaumann	1899
Giovanni Vittorio Amoretti	1 mei 1892
A. Della Corte	5 april 1883
Arrigo Levasti	22 april 1886
Guido Piovene	27 juli 1907
Cipriano Efisio Oppo	2 juli 1891
G.A. Borgese	12 november 1882
Ada Negri	3 februari 1870
Domenico Giuliotti	18 februari 1877
Michelangelo Zimolo	20ste eeuw
Edgard de Bruyne	18 april 1898
Vincenzo Cardarelli	1 mei 1887
Antonio Fogazzaro	25 maart 1842
Sergio Corazzini	6 februari 1886
Nicola Moscardelli	9 oktober 1894
Franco de Wyels	20ste eeuw
Louis Knuvelder	1907
A. Stracke	19de eeuw
Eugène de Hovre	26 december 1876
Leo Picard	1888
J. Rodolfo Lozada	20ste eeuw
Amado Nervo	27 augustus 1870
E.H. de Craene	1880
A.G. Christiaens	24 maart 1905
Jef Claes	1896
Rob van Roosbroeck	1898
Karel Verbeke	20ste eeuw
Paolo Arcari	1879
H.J. Elias	12 juni 1902
Guido Eeckels	21 oktober 1912
J. van de Velde	20ste eeuw
Franz de Backer	22 juni 1891
Theo Bogaerts	26 april 1893
Frank van den Wijngaert	29 januari 1901
Paul Verbruggen	10 september 1891
Cornelis Backer	20 november 1798
J.C.J. Bierens de Haan	17 november 1867
Georg Moenius	19 oktober 1890
Günther Müller	15 december 1890
Friedrich Muckermann, S.J.	1883
Willem Gijssels	23 april 1875
Marcel Lobet	28 juni 1907
R.B. Lenaerts	1902
C. Houwaard	1908?
F. Collin	18 december 1897
Jozef de Wilde	1906
William van den Aker	1901
Andries Morlion	16 mei 1904
Rudolf Arnheim	15 juli 1904
Karel Dekeukeleire	27 mei 1905
P. Seligmann	19de eeuw
Lode Geysen	19de eeuw
L. Patris	19de eeuw
René Devos	19de eeuw
D. Lunders	19de eeuw
J.G.R. van Dyck	19de eeuw
Theodor Absil	1886
Staf Weyts	15 april 1909
Lanceloot	20ste eeuw
Stephanus G. Axters	15 oktober 1901
Thierry de Wael	19de eeuw
Em. de Deyne	20ste eeuw
Paul Sobry	16 juni 1894
Albert Westerlinck	17 februari 1914
P. Vermeiren	19de eeuw
Paul Lebeau	29 juni 1908
Alfons Walschap	2 april 1903
Fernand Bekaert	19de eeuw
Pomp de Basschaerde	19de eeuw
P. Morlion	19de eeuw
Han. Jonkers	19de eeuw
Oskar van der Hallen	28 augustus 1903
Jef de Pillecijn	1883
Ludwig Drees	23 november 1910
Maurits Peeters	1914
P.J. Weckx	19de eeuw
Fernand Deschamps	13 juli 1868
Peter Benoit	17 augustus 1834
J.F. Vanderheyden	6 maart 1903
Hugo Anns	19de eeuw
F. Philips	19de eeuw
René Goris	20 juni 1895
Paul Franck	20ste eeuw
Walther von der Vogelweide	1170
Frans Verachtert	1909
L. Delwaide	20ste eeuw
Jos. Wils	20ste eeuw
Bert Ranke	1914
O. Westerlinck	20ste eeuw
Joh. Boe	20ste eeuw
Taeke de Groot	26 mei 1903
H.H.J. Maas	24 februari 1877
D. Zijlstra	3 mei 1889
R. van Cauwelaert	20ste eeuw
Frans Tobback	20ste eeuw
V.E. van Uytvanck	24 november 1896
Jef Contryn	1902
Leo Galle	1897
Jan Bertels	20ste eeuw
Maurits de Doncker	21 november 1903
Desiderius Erasmus	28 oktober 1466
Rainer Maria Rilke	4 december 1875
J.L. de Belder	18 juni 1912
Thilda Deckers	19de eeuw
Korneel Goossens	1900
Jan Kestens	20ste eeuw
Robert Maistriaux	20ste eeuw
Ludo Van de Wijgaert	1909
Flora de Lannoy	1895
W.A. de Witte	20ste eeuw
Frans Broekaert	20ste eeuw
A.L Bem	1886
Leo Landsman	1910
Irma van de Port	20ste eeuw
Isabelle Landuyt	20ste eeuw
Gilbert Degroote	28 januari 1914
Marc Staels	1919
Emiel Jan Janssen	23 april 1897
Max Lamberty	31 december 1893
Willy Vaerewijck	6 februari 1914
Fred. Walecijn	20ste eeuw
Paul de Ryck	11 juni 1913
Marcel Grypdonck	1909
Novalis	2 mei 1772
Ludo Poplemont	1905
Luc Indestege	5 februari 1901
Luc van Brabant	10 oktober 1909
Liesbeth van Thillo	1914
Leys Achiel	20ste eeuw
Karel Capek	1890
Max Kijzer	14 januari 1893
Jean-Charles Snoy et d'Oppuers	2 juli 1907
J. Keunen	18 oktober 1898
P. Verberne	20ste eeuw
Maurits Wille	20ste eeuw
Vital Celen	9 februari 1887
A. Plas	20ste eeuw
Robert Storm Petersen	19 september 1882
Alfons van Beylen	20ste eeuw
Stefaan Leonard	20ste eeuw
Marie Schous	20ste eeuw
H. van Lennep	20ste eeuw
Marcel Tobie	20ste eeuw
Luc van Hoeck	20ste eeuw
Basiel de Craene	15 april 1880
Jan Melis	4 april 1902
P.Em. Valvekens	1897
Camiel van Deyck	1901
Hendrik Prijs	18 maart 1898
Gerard Michiels	1908
