Target	Source	Weight	Author	DOB
L. Strengholt	W.P. Gerritsen	12	L. Strengholt	31 december 1930
L. Strengholt	M.A. Schenkeveld-van der Dussen	21	L. Strengholt	31 december 1930
G. Geerts	M.A. Schenkeveld-van der Dussen	14	G. Geerts	1935
Hugo Claus	M.A. Schenkeveld-van der Dussen	9	Hugo Claus	5 april 1929
J.P. Gumbert	M.A. Schenkeveld-van der Dussen	7	J.P. Gumbert	23 januari 1936
W.A. Ornée	M.A. Schenkeveld-van der Dussen	6	W.A. Ornée	26 mei 1921
A.A. Weijnen	M.A. Schenkeveld-van der Dussen	5	A.A. Weijnen	28 december 1909
M.A. Schenkeveld-van der Dussen	B. van den Berg	11	M.A. Schenkeveld-van der Dussen	10 oktober 1937
Jan Stroop	M.C. van den Toorn	7	Jan Stroop	1938
F. Veenstra	M.C. van den Toorn	5	F. Veenstra	29 december 1906
Maartje Draak	M.C. van den Toorn	6	Maartje Draak	25 maart 1907
P.G.J. van Sterkenburg	B. van den Berg	8	P.G.J. van Sterkenburg	1942
P.G.J. van Sterkenburg	M.C. van den Toorn	19	P.G.J. van Sterkenburg	1942
P.G.J. van Sterkenburg	A.L. Sötemann	7	P.G.J. van Sterkenburg	1942
E.K. Grootes	M.C. van den Toorn	14	E.K. Grootes	22 maart 1936
P.J. Buijnsters	M.A. Schenkeveld-van der Dussen	13	P.J. Buijnsters	18 oktober 1933
J. Goossens	M.C. van den Toorn	21	J. Goossens	1944
C.C. de Bruin	M.C. van den Toorn	9	C.C. de Bruin	15 mei 1905
W. Waterschoot	M.C. van den Toorn	10	W. Waterschoot	8 juli 1941
F. de Tollenaere	M.C. van den Toorn	12	F. de Tollenaere	8 juli 1912
A. Sassen	G.J. Dorleijn	5	A. Sassen	25 juni 1921
Marcel Janssen	G.J. Dorleijn	11	Marcel Janssen	15 juni 1903
P.C. Paardekooper	G.J. Dorleijn	7	P.C. Paardekooper	6 november 1920
W.P. Gerritsen	G.J. Dorleijn	11	W.P. Gerritsen	12 augustus 1935
P.J. Buijnsters	G.J. Dorleijn	7	P.J. Buijnsters	18 oktober 1933
P.G.J. van Sterkenburg	G.J. Dorleijn	7	P.G.J. van Sterkenburg	1942
A.L. Sötemann	G.J. Dorleijn	5	A.L. Sötemann	11 augustus 1920
Ad Zuiderent	G.J. Dorleijn	6	Ad Zuiderent	28 mei 1944
Hugo Bousset	G.J. Dorleijn	5	Hugo Bousset	1942
J.J. Wesselo	G.J. Dorleijn	7	J.J. Wesselo	1940
Rob Nieuwenhuys	G.J. Dorleijn	5	Rob Nieuwenhuys	30 juni 1908
Hanneke van Buuren	G.J. Dorleijn	6	Hanneke van Buuren	24 juni 1938
K. Fokkema	G.J. Dorleijn	5	K. Fokkema	5 maart 1898
R.L.K. Fokkema	G.J. Dorleijn	5	R.L.K. Fokkema	2 januari 1938
J.B. Berns	G.J. Dorleijn	7	J.B. Berns	24 juni 1937
C. van de Ketterij	G.J. Dorleijn	5	C. van de Ketterij	1932
André Demedts	G.J. Dorleijn	10	André Demedts	8 augustus 1906
Frederik van Eeden	M.C. van den Toorn	8	Frederik van Eeden	3 april 1860
A.M.J. van Buuren	M.C. van den Toorn	18	A.M.J. van Buuren	20ste eeuw
G.R.W. Dibbets	W.P. Gerritsen	8	G.R.W. Dibbets	23 december 1938
G.R.W. Dibbets	M.C. van den Toorn	10	G.R.W. Dibbets	23 december 1938
Harry G.M. Prick	M.C. van den Toorn	9	Harry G.M. Prick	13 september 1925
D.M. Bakker	M.C. van den Toorn	9	D.M. Bakker	24 juni 1934
H.W. van Tricht	M.C. van den Toorn	6	H.W. van Tricht	19 november 1897
J.C. Bloem	M.C. van den Toorn	11	J.C. Bloem	10 mei 1887
J. Taeldeman	M.C. van den Toorn	16	J. Taeldeman	23 december 1943
Carry van Bruggen	W.P. Gerritsen	5	Carry van Bruggen	1 januari 1881
Carry van Bruggen	M.C. van den Toorn	5	Carry van Bruggen	1 januari 1881
B.C. Damsteegt	A.L. Sötemann	5	B.C. Damsteegt	5 juli 1915
B.C. Damsteegt	W.P. Gerritsen	7	B.C. Damsteegt	5 juli 1915
B.C. Damsteegt	M.C. van den Toorn	7	B.C. Damsteegt	5 juli 1915
F.P. van Oostrom	W.P. Gerritsen	9	F.P. van Oostrom	15 mei 1953
J.J. Kloek	W.P. Gerritsen	8	J.J. Kloek	1 augustus 1943
Kees Fens	M.C. van den Toorn	8	Kees Fens	18 oktober 1929
M.J.M. de Haan	A.L. Sötemann	5	M.J.M. de Haan	1942
H.W.J. Vekeman	M.C. van den Toorn	5	H.W.J. Vekeman	19 december 1938
M.C. van den Toorn	G.J. Dorleijn	15	M.C. van den Toorn	4 januari 1929
Jan van der Vegt	G.J. Dorleijn	5	Jan van der Vegt	4 oktober 1935
M.A. Schenkeveld-van der Dussen	G.J. Dorleijn	15	M.A. Schenkeveld-van der Dussen	10 oktober 1937
F. de Tollenaere	G.J. Dorleijn	5	F. de Tollenaere	8 juli 1912
G. Geerts	G.J. Dorleijn	5	G. Geerts	1935
Hugo Claus	G.J. Dorleijn	9	Hugo Claus	5 april 1929
Albert Westerlinck	G.J. Dorleijn	7	Albert Westerlinck	17 februari 1914
A. Roland Holst	G.J. Dorleijn	8	A. Roland Holst	23 mei 1888
Anton Korteweg	G.J. Dorleijn	6	Anton Korteweg	31 januari 1944
T.T. Cloete	G.J. Dorleijn	5	T.T. Cloete	31 mei 1924
Jo Daan	G.J. Dorleijn	6	Jo Daan	12 mei 1910
Willy Spillebeen	G.J. Dorleijn	6	Willy Spillebeen	30 december 1932
Hugo Brems	G.J. Dorleijn	10	Hugo Brems	1944
Albe	G.J. Dorleijn	13	Albe	8 juni 1902
H. Entjes	G.J. Dorleijn	8	H. Entjes	17 september 1919
Anton van Duinkerken	M.A. Schenkeveld-van der Dussen	5	Anton van Duinkerken	2 januari 1903
A. Roland Holst	M.A. Schenkeveld-van der Dussen	6	A. Roland Holst	23 mei 1888
Lieven Rens	A.G.M. Vermeulen	7	Lieven Rens	15 januari 1925
Louis Couperus	A.G.M. Vermeulen	5	Louis Couperus	10 juni 1863
Marcel Janssen	A.G.M. Vermeulen	20	Marcel Janssen	15 juni 1903
H.J. Verkuyl	A.G.M. Vermeulen	10	H.J. Verkuyl	1938
G. Geerts	A.G.M. Vermeulen	11	G. Geerts	1935
Hedwig Speliers	A.G.M. Vermeulen	6	Hedwig Speliers	12 juni 1935
Jan van der Vegt	A.G.M. Vermeulen	11	Jan van der Vegt	4 oktober 1935
W.G. Klooster	G.J. Dorleijn	5	W.G. Klooster	1935
W.G. Klooster	A.G.M. Vermeulen	6	W.G. Klooster	1935
G.R.W. Dibbets	G.J. Dorleijn	5	G.R.W. Dibbets	23 december 1938
Hugo Brems	A.G.M. Vermeulen	14	Hugo Brems	1944
Hugo Claus	A.G.M. Vermeulen	9	Hugo Claus	5 april 1929
Albert Westerlinck	A.G.M. Vermeulen	10	Albert Westerlinck	17 februari 1914
Albe	A.G.M. Vermeulen	13	Albe	8 juni 1902
T.T. Cloete	A.G.M. Vermeulen	5	T.T. Cloete	31 mei 1924
P.G.J. van Sterkenburg	A.G.M. Vermeulen	8	P.G.J. van Sterkenburg	1942
Rein Bloem	A.G.M. Vermeulen	7	Rein Bloem	20 april 1932
Ton Anbeek	G.J. Dorleijn	7	Ton Anbeek	18 september 1944
Ton Anbeek	A.G.M. Vermeulen	7	Ton Anbeek	18 september 1944
Marcel Janssens	G.J. Dorleijn	10	Marcel Janssens	28 februari 1932
Marcel Janssens	A.G.M. Vermeulen	20	Marcel Janssens	28 februari 1932
Norbert Elias	A.G.M. Vermeulen	5	Norbert Elias	22 juni 1897
Hugo Bousset	A.G.M. Vermeulen	13	Hugo Bousset	1942
Marnix Gijsen	G.J. Dorleijn	6	Marnix Gijsen	20 oktober 1899
Marnix Gijsen	A.G.M. Vermeulen	8	Marnix Gijsen	20 oktober 1899
G.J. Dorleijn	A.G.M. Vermeulen	14	G.J. Dorleijn	1951
A.G.M. Vermeulen	G.J. Dorleijn	14	A.G.M. Vermeulen	20ste eeuw
J.J. Wesselo	A.G.M. Vermeulen	7	J.J. Wesselo	1940
J. de Jong	G.J. Dorleijn	5	J. de Jong	19de eeuw
Jan Wolkers	A.G.M. Vermeulen	5	Jan Wolkers	26 oktober 1925
Anne Marie Musschoot	A.G.M. Vermeulen	5	Anne Marie Musschoot	1944
Lucebert	G.J. Dorleijn	9	Lucebert	15 september 1924
Lucebert	A.G.M. Vermeulen	10	Lucebert	15 september 1924
Jaap Goedegebuure	G.J. Dorleijn	12	Jaap Goedegebuure	1947
Jaap Goedegebuure	A.G.M. Vermeulen	11	Jaap Goedegebuure	1947
R.F. Beerling	A.G.M. Vermeulen	5	R.F. Beerling	7 april 1905
André Demedts	A.G.M. Vermeulen	11	André Demedts	8 augustus 1906
Jo Daan	M.C. van den Toorn	21	Jo Daan	12 mei 1910
R.L.K. Fokkema	M.C. van den Toorn	6	R.L.K. Fokkema	2 januari 1938
Multatuli	A.G.M. Vermeulen	10	Multatuli	2 maart 1820
Herman Pleij	A.G.M. Vermeulen	5	Herman Pleij	1943
P.J. Buijnsters	A.G.M. Vermeulen	7	P.J. Buijnsters	18 oktober 1933
A. Roland Holst	A.G.M. Vermeulen	5	A. Roland Holst	23 mei 1888
H. Entjes	A.G.M. Vermeulen	13	H. Entjes	17 september 1919
A.L. Sötemann	A.G.M. Vermeulen	6	A.L. Sötemann	11 augustus 1920
Martinus Nijhoff	A.G.M. Vermeulen	5	Martinus Nijhoff	20 april 1894
Martinus Nijhoff	A.G.M. Vermeulen	5	Martinus Nijhoff	26 december 1826
W. de Vries	A.G.M. Vermeulen	5	W. de Vries	20ste eeuw
Jo Daan	A.G.M. Vermeulen	8	Jo Daan	12 mei 1910
J.W. de Vries	A.G.M. Vermeulen	5	J.W. de Vries	14 december 1937
Gerrit Kouwenaar	A.L. Sötemann	5	Gerrit Kouwenaar	9 augustus 1923
Cyriel Buysse	M.A. Schenkeveld-van der Dussen	6	Cyriel Buysse	20 september 1859
B. van den Berg	M.A. Schenkeveld-van der Dussen	16	B. van den Berg	14 februari 1911
Herman Pleij	W.P. Gerritsen	9	Herman Pleij	1943
Herman Pleij	M.A. Schenkeveld-van der Dussen	11	Herman Pleij	1943
Herman Pleij	M.C. van den Toorn	10	Herman Pleij	1943
J.J. Mak	W.P. Gerritsen	6	J.J. Mak	5 juli 1908
J.J. Mak	M.C. van den Toorn	6	J.J. Mak	5 juli 1908
Frederik van Eeden	M.A. Schenkeveld-van der Dussen	9	Frederik van Eeden	3 april 1860
W. Waterschoot	A.G.M. Vermeulen	7	W. Waterschoot	8 juli 1941
J.M.J. Sicking	G.J. Dorleijn	5	J.M.J. Sicking	1 maart 1936
Harry Mulisch	A.G.M. Vermeulen	7	Harry Mulisch	29 juli 1927
F. de Tollenaere	A.G.M. Vermeulen	6	F. de Tollenaere	8 juli 1912
L. Strengholt	G.J. Dorleijn	6	L. Strengholt	31 december 1930
L. Strengholt	A.G.M. Vermeulen	7	L. Strengholt	31 december 1930
Louis Paul Boon	A.G.M. Vermeulen	5	Louis Paul Boon	15 maart 1912
Multatuli	G.J. Dorleijn	8	Multatuli	2 maart 1820
Paul Rodenko	A.G.M. Vermeulen	5	Paul Rodenko	26 november 1920
A. Ampe	G.J. Dorleijn	6	A. Ampe	17 april 1912
A. Ampe	A.G.M. Vermeulen	12	A. Ampe	17 april 1912
Ad Zuiderent	A.G.M. Vermeulen	7	Ad Zuiderent	28 mei 1944
Willy Spillebeen	A.G.M. Vermeulen	13	Willy Spillebeen	30 december 1932
P.J. Meertens	G.J. Dorleijn	6	P.J. Meertens	6 september 1899
P.N. van Eyck	G.J. Dorleijn	6	P.N. van Eyck	1 oktober 1887
G.A. van Es	W.P. Gerritsen	5	G.A. van Es	21 december 1904
R. Jansen-Sieben	M.C. van den Toorn	6	R. Jansen-Sieben	1930
A.M. Duinhoven	M.C. van den Toorn	10	A.M. Duinhoven	1938
A.M. Duinhoven	W.P. Gerritsen	7	A.M. Duinhoven	1938
V.F. Vanacker	M.C. van den Toorn	6	V.F. Vanacker	1921
D.P. Blok	A.G.M. Vermeulen	5	D.P. Blok	7 januari 1925
Martien J.G. de Jong	A.G.M. Vermeulen	7	Martien J.G. de Jong	20 mei 1929
Marita Mathijsen	G.J. Dorleijn	5	Marita Mathijsen	18 augustus 1944
Marita Mathijsen	A.G.M. Vermeulen	9	Marita Mathijsen	18 augustus 1944
Rutger Kopland	G.J. Dorleijn	5	Rutger Kopland	4 augustus 1934
Rutger Kopland	A.G.M. Vermeulen	7	Rutger Kopland	4 augustus 1934
F.G. Droste	A.G.M. Vermeulen	5	F.G. Droste	4 juli 1928
Sybren Polet	A.G.M. Vermeulen	11	Sybren Polet	19 juni 1924
G. Kazemier	A.G.M. Vermeulen	8	G. Kazemier	24 maart 1902
H.T.J. Miedema	A.G.M. Vermeulen	9	H.T.J. Miedema	8 juni 1922
A.L. Constandse	A.G.M. Vermeulen	5	A.L. Constandse	13 september 1899
M.C. van den Toorn	P.C. Paardekooper	13	M.C. van den Toorn	4 januari 1929
Jacob van Lennep	M.C. van den Toorn	7	Jacob van Lennep	24 maart 1802
Jacob van Lennep	W.P. Gerritsen	5	Jacob van Lennep	24 maart 1802
Louis Paul Boon	M.C. van den Toorn	5	Louis Paul Boon	15 maart 1912
P.G.J. van Sterkenburg	W.P. Gerritsen	7	P.G.J. van Sterkenburg	1942
Hilda van Assche	M.C. van den Toorn	5	Hilda van Assche	5 september 1922
S.J. Lenselink	M.C. van den Toorn	6	S.J. Lenselink	28 juni 1912
A. Sassen	A.G.M. Vermeulen	6	A. Sassen	25 juni 1921
M.C. van den Toorn	A.G.M. Vermeulen	6	M.C. van den Toorn	4 januari 1929
J. Reynaert	A.G.M. Vermeulen	6	J. Reynaert	23 juni 1945
Lionel Deflo	A.G.M. Vermeulen	6	Lionel Deflo	31 januari 1940
M.K. van Dort-Slijper	A.G.M. Vermeulen	5	M.K. van Dort-Slijper	1939
Tom van Deel	A.G.M. Vermeulen	7	Tom van Deel	21 februari 1945
Hanneke van Buuren	A.G.M. Vermeulen	10	Hanneke van Buuren	24 juni 1938
E.K. Grootes	G.J. Dorleijn	6	E.K. Grootes	22 maart 1936
C. van de Ketterij	A.G.M. Vermeulen	5	C. van de Ketterij	1932
M.C. van den Toorn	Maarten Klein	9	M.C. van den Toorn	4 januari 1929
Albe	Fons van Buuren	7	Albe	8 juni 1902
J. Bosch	M.C. van den Toorn	5	J. Bosch	1910
H. Entjes	M.C. van den Toorn	5	H. Entjes	17 september 1919
W.A. Ornée	M.C. van den Toorn	6	W.A. Ornée	26 mei 1921
J.H. Leopold	M.C. van den Toorn	9	J.H. Leopold	11 mei 1865
J.H. Leopold	W.P. Gerritsen	7	J.H. Leopold	11 mei 1865
Karel van de Woestijne	M.C. van den Toorn	10	Karel van de Woestijne	10 maart 1878
Guido Gezelle	M.C. van den Toorn	6	Guido Gezelle	1 mei 1830
Anne Marie Musschoot	M.C. van den Toorn	7	Anne Marie Musschoot	1944
Lucebert	W.P. Gerritsen	5	Lucebert	15 september 1924
Jeroen Brouwers	A.G.M. Vermeulen	8	Jeroen Brouwers	30 april 1940
Breyten Breytenbach	A.G.M. Vermeulen	5	Breyten Breytenbach	16 september 1939
Wiel Kusters	A.G.M. Vermeulen	5	Wiel Kusters	1 juni 1947
J. Goossens	G.J. Dorleijn	6	J. Goossens	1944
J. Goossens	A.G.M. Vermeulen	8	J. Goossens	1944
H. van Gorp	M.C. van den Toorn	7	H. van Gorp	4 maart 1935
H. van Gorp	W.P. Gerritsen	5	H. van Gorp	4 maart 1935
Fr. Daems	M.C. van den Toorn	5	Fr. Daems	1941
Fr. Daems	W.P. Gerritsen	5	Fr. Daems	1941
Jef Geeraerts	A.G.M. Vermeulen	6	Jef Geeraerts	23 februari 1930
N.C.H. Wijngaards	A.G.M. Vermeulen	5	N.C.H. Wijngaards	29 juni 1911
Harry G.M. Prick	A.G.M. Vermeulen	5	Harry G.M. Prick	13 september 1925
Anton Korteweg	A.G.M. Vermeulen	11	Anton Korteweg	31 januari 1944
Jan Noordegraaf	M.C. van den Toorn	8	Jan Noordegraaf	1948
Jan Noordegraaf	M.A. Schenkeveld-van der Dussen	8	Jan Noordegraaf	1948
Anton Korteweg	M.C. van den Toorn	5	Anton Korteweg	31 januari 1944
Jaap Goedegebuure	M.C. van den Toorn	5	Jaap Goedegebuure	1947
Doeschka Meijsing	A.G.M. Vermeulen	6	Doeschka Meijsing	21 oktober 1947
Leo Ross	A.G.M. Vermeulen	5	Leo Ross	15 juli 1934
Louis Ferron	A.G.M. Vermeulen	5	Louis Ferron	4 februari 1942
J. Molemans	A.G.M. Vermeulen	5	J. Molemans	1938
J.M.J. Sicking	W.P. Gerritsen	7	J.M.J. Sicking	1 maart 1936
J.W. de Vries	M.A. Schenkeveld-van der Dussen	7	J.W. de Vries	14 december 1937
W. de Vries	M.A. Schenkeveld-van der Dussen	8	W. de Vries	20ste eeuw
Mieke Trommelen	M.A. Schenkeveld-van der Dussen	7	Mieke Trommelen	1951
Jan van Bakel	A.G.M. Vermeulen	7	Jan van Bakel	11 december 1927
G. Kazemier	A.M. Duinhoven	5	G. Kazemier	24 maart 1902
M.C. van den Toorn	L. Mosheuvel	9	M.C. van den Toorn	4 januari 1929
A.L. Sötemann	L. Mosheuvel	5	A.L. Sötemann	11 augustus 1920
Martinus Nijhoff	L. Mosheuvel	6	Martinus Nijhoff	20 april 1894
Martinus Nijhoff	L. Mosheuvel	6	Martinus Nijhoff	26 december 1826
E.K. Grootes	W.P. Gerritsen	8	E.K. Grootes	22 maart 1936
Peter van Zonneveld	A.G.M. Vermeulen	5	Peter van Zonneveld	1948
Maarten 't Hart	A.G.M. Vermeulen	7	Maarten 't Hart	25 november 1944
Karel van de Woestijne	A.G.M. Vermeulen	7	Karel van de Woestijne	10 maart 1878
M.A. Schenkeveld-van der Dussen	Fons van Buuren	11	M.A. Schenkeveld-van der Dussen	10 oktober 1937
Maarten 't Hart	G.J. Dorleijn	5	Maarten 't Hart	25 november 1944
Rudolf van de Perre	A.G.M. Vermeulen	8	Rudolf van de Perre	27 juli 1934
Jacques Hamelink	A.G.M. Vermeulen	5	Jacques Hamelink	12 januari 1939
J. Goossens	L. Koelmans	7	J. Goossens	1944
Harry G.M. Prick	M.A. Schenkeveld-van der Dussen	8	Harry G.M. Prick	13 september 1925
A. Sturm	M.C. van den Toorn	5	A. Sturm	1948
Johan Kerstens	H.J. Verkuyl	7	Johan Kerstens	1946
A. Sassen	M.A. Schenkeveld-van der Dussen	6	A. Sassen	25 juni 1921
A.N. Paasman	M.A. Schenkeveld-van der Dussen	5	A.N. Paasman	26 februari 1939
A.M.J. van Buuren	M.A. Schenkeveld-van der Dussen	18	A.M.J. van Buuren	20ste eeuw
G.R.W. Dibbets	M.A. Schenkeveld-van der Dussen	8	G.R.W. Dibbets	23 december 1938
P.G.J. van Sterkenburg	M.A. Schenkeveld-van der Dussen	6	P.G.J. van Sterkenburg	1942
D.M. Bakker	M.A. Schenkeveld-van der Dussen	7	D.M. Bakker	24 juni 1934
C.C. de Bruin	M.A. Schenkeveld-van der Dussen	7	C.C. de Bruin	15 mei 1905
C.F.P. Stutterheim	M.A. Schenkeveld-van der Dussen	7	C.F.P. Stutterheim	21 mei 1903
C.A. Zaalberg	M.A. Schenkeveld-van der Dussen	6	C.A. Zaalberg	27 november 1909
Teun Hoekstra	A.G.M. Vermeulen	5	Teun Hoekstra	24 januari 1953
Marita Mathijsen	W.J. van den Akker	7	Marita Mathijsen	18 augustus 1944
Jan van der Vegt	W.J. van den Akker	6	Jan van der Vegt	4 oktober 1935
M.C. van den Toorn	W.J. van den Akker	8	M.C. van den Toorn	4 januari 1929
Rutger Kopland	W.J. van den Akker	5	Rutger Kopland	4 augustus 1934
P.G.J. van Sterkenburg	W.J. van den Akker	5	P.G.J. van Sterkenburg	1942
Hugo Bousset	W.J. van den Akker	8	Hugo Bousset	1942
Lucebert	W.J. van den Akker	6	Lucebert	15 september 1924
Marcel Janssen	W.J. van den Akker	11	Marcel Janssen	15 juni 1903
A.M. Duinhoven	W.J. van den Akker	5	A.M. Duinhoven	1938
L. Strengholt	W.J. van den Akker	5	L. Strengholt	31 december 1930
J. Reynaert	W.J. van den Akker	6	J. Reynaert	23 juni 1945
Sybren Polet	W.J. van den Akker	7	Sybren Polet	19 juni 1924
G. Kazemier	W.J. van den Akker	5	G. Kazemier	24 maart 1902
A. Ampe	W.J. van den Akker	5	A. Ampe	17 april 1912
Jo Daan	W.J. van den Akker	5	Jo Daan	12 mei 1910
Willy Spillebeen	W.J. van den Akker	7	Willy Spillebeen	30 december 1932
Hanneke van Buuren	W.J. van den Akker	7	Hanneke van Buuren	24 juni 1938
H.J. Verkuyl	W.J. van den Akker	10	H.J. Verkuyl	1938
H. Entjes	W.J. van den Akker	6	H. Entjes	17 september 1919
J. Goossens	W.J. van den Akker	6	J. Goossens	1944
Marcel Janssens	W.J. van den Akker	11	Marcel Janssens	28 februari 1932
Jan van Bakel	W.J. van den Akker	7	Jan van Bakel	11 december 1927
L. Peeters	M.C. van den Toorn	5	L. Peeters	14 februari 1925
W. Waterschoot	W.J. van den Akker	5	W. Waterschoot	8 juli 1941
Peter van Zonneveld	W.J. van den Akker	5	Peter van Zonneveld	1948
Louis Ferron	W.J. van den Akker	5	Louis Ferron	4 februari 1942
G. Geerts	W.J. van den Akker	8	G. Geerts	1935
Multatuli	W.J. van den Akker	6	Multatuli	2 maart 1820
Hugo Brems	W.J. van den Akker	9	Hugo Brems	1944
Lionel Deflo	W.J. van den Akker	5	Lionel Deflo	31 januari 1940
Anton Korteweg	W.J. van den Akker	9	Anton Korteweg	31 januari 1944
Tom van Deel	W.J. van den Akker	6	Tom van Deel	21 februari 1945
Karel van de Woestijne	W.J. van den Akker	5	Karel van de Woestijne	10 maart 1878
H.T.J. Miedema	W.J. van den Akker	5	H.T.J. Miedema	8 juni 1922
Jaap Goedegebuure	W.J. van den Akker	5	Jaap Goedegebuure	1947
Jeroen Brouwers	W.J. van den Akker	7	Jeroen Brouwers	30 april 1940
Saskia Daalder	M.C. van den Toorn	7	Saskia Daalder	20ste eeuw
Dirk Coigneau	W.P. Gerritsen	5	Dirk Coigneau	1948
Dirk Coigneau	M.C. van den Toorn	6	Dirk Coigneau	1948
A.M. Hagen	M.C. van den Toorn	5	A.M. Hagen	1936
Carel Peeters	W.J. van den Akker	5	Carel Peeters	5 juni 1944
Rudolf van de Perre	W.J. van den Akker	6	Rudolf van de Perre	27 juli 1934
Harry G.M. Prick	W.J. van den Akker	7	Harry G.M. Prick	13 september 1925
F.L. Bastet	W.J. van den Akker	6	F.L. Bastet	20 september 1926
Rudolf Geel	W.J. van den Akker	5	Rudolf Geel	27 januari 1941
F. Veenstra	M.A. Schenkeveld-van der Dussen	7	F. Veenstra	29 december 1906
Albe	Arie-Jan Gelderblom	5	Albe	8 juni 1902
Albe	W.J. van den Akker	9	Albe	8 juni 1902
Paul van Ostaijen	W.J. van den Akker	5	Paul van Ostaijen	22 februari 1896
H.T.J. Miedema	M.C. van den Toorn	6	H.T.J. Miedema	8 juni 1922
Hugo Claus	W.J. van den Akker	5	Hugo Claus	5 april 1929
Marijke Spies	W.J. van den Akker	5	Marijke Spies	5 augustus 1934
Frank van Gestel	M.C. van den Toorn	5	Frank van Gestel	1939
Orlanda S.H. Lie	M.A. Schenkeveld-van der Dussen	6	Orlanda S.H. Lie	1949
Orlanda S.H. Lie	M.C. van den Toorn	6	Orlanda S.H. Lie	1949
J. Goossens	M.A. Schenkeveld-van der Dussen	12	J. Goossens	1944
Marinel Gerritsen	M.A. Schenkeveld-van der Dussen	7	Marinel Gerritsen	1949
B. van den Berg	Fons van Buuren	8	B. van den Berg	14 februari 1911
F.P. van Oostrom	M.A. Schenkeveld-van der Dussen	14	F.P. van Oostrom	15 mei 1953
F.P. van Oostrom	M.C. van den Toorn	14	F.P. van Oostrom	15 mei 1953
E.K. Grootes	M.A. Schenkeveld-van der Dussen	15	E.K. Grootes	22 maart 1936
Louis Couperus	W.J. van den Akker	5	Louis Couperus	10 juni 1863
Wim Zonneveld	H.J. Verkuyl	5	Wim Zonneveld	1950
J.M.J. Sicking	M.C. van den Toorn	8	J.M.J. Sicking	1 maart 1936
P.E.L. Verkuyl	M.C. van den Toorn	10	P.E.L. Verkuyl	1929
P.E.L. Verkuyl	W.P. Gerritsen	5	P.E.L. Verkuyl	1929
J.J. Oversteegen	M.C. van den Toorn	5	J.J. Oversteegen	2 januari 1926
Mieke Bal	M.C. van den Toorn	5	Mieke Bal	14 maart 1946
A.L. Sötemann	Fons van Buuren	5	A.L. Sötemann	11 augustus 1920
Martinus Nijhoff	Fons van Buuren	7	Martinus Nijhoff	20 april 1894
Martinus Nijhoff	Fons van Buuren	7	Martinus Nijhoff	26 december 1826
W.P. Gerritsen	W.J. van den Akker	5	W.P. Gerritsen	12 augustus 1935
Gerrit Achterberg	M.A. Schenkeveld-van der Dussen	8	Gerrit Achterberg	20 mei 1905
A. Sturm	M.A. Schenkeveld-van der Dussen	5	A. Sturm	1948
Lieven Rens	M.A. Schenkeveld-van der Dussen	7	Lieven Rens	15 januari 1925
H. van Gorp	M.A. Schenkeveld-van der Dussen	6	H. van Gorp	4 maart 1935
Karel Porteman	M.C. van den Toorn	6	Karel Porteman	20 juni 1938
Marijke Spies	M.A. Schenkeveld-van der Dussen	15	Marijke Spies	5 augustus 1934
Marijke Spies	M.C. van den Toorn	10	Marijke Spies	5 augustus 1934
Karel van de Woestijne	M.A. Schenkeveld-van der Dussen	6	Karel van de Woestijne	10 maart 1878
Guido Gezelle	M.A. Schenkeveld-van der Dussen	7	Guido Gezelle	1 mei 1830
M.F. Fresco	M.C. van den Toorn	5	M.F. Fresco	9 juli 1925
E.K. Grootes	Arie-Jan Gelderblom	7	E.K. Grootes	22 maart 1936
P.C. Paardekooper	Fons van Buuren	9	P.C. Paardekooper	6 november 1920
W.P. Gerritsen	Lieven Rens	8	W.P. Gerritsen	12 augustus 1935
M.J.M. de Haan	Lieven Rens	5	M.J.M. de Haan	1942
Martinus Nijhoff	Lieven Rens	10	Martinus Nijhoff	20 april 1894
Martinus Nijhoff	Lieven Rens	10	Martinus Nijhoff	26 december 1826
Marnix Gijsen	Lieven Rens	5	Marnix Gijsen	20 oktober 1899
F.W.N. Hugenholtz	M.C. van den Toorn	5	F.W.N. Hugenholtz	1922
Johan Kerstens	A. Sturm	8	Johan Kerstens	1946
G. Geerts	Arie-Jan Gelderblom	5	G. Geerts	1935
Marijke Spies	Arie-Jan Gelderblom	8	Marijke Spies	5 augustus 1934
W.A.P. Smit	Arie-Jan Gelderblom	5	W.A.P. Smit	6 december 1903
M.C. van den Toorn	P.N.G. Pesch	5	M.C. van den Toorn	4 januari 1929
Herman Gorter	M.C. van den Toorn	6	Herman Gorter	26 november 1864
A.M. Duinhoven	Evert van den Berg	5	A.M. Duinhoven	1938
Wim Zonneveld	Fons van Buuren	6	Wim Zonneveld	1950
Jacob van Lennep	M.A. Schenkeveld-van der Dussen	6	Jacob van Lennep	24 maart 1802
Multatuli	M.A. Schenkeveld-van der Dussen	15	Multatuli	2 maart 1820
H.J. Verkuyl	L. Koelmans	7	H.J. Verkuyl	1938
H.J. Verkuyl	Arie-Jan Gelderblom	11	H.J. Verkuyl	1938
F. Lulofs	M.A. Schenkeveld-van der Dussen	6	F. Lulofs	11 oktober 1919
Hugo Claus	M.C. van den Toorn	7	Hugo Claus	5 april 1929
Martinus Nijhoff	L. Koelmans	8	Martinus Nijhoff	20 april 1894
Martinus Nijhoff	L. Koelmans	8	Martinus Nijhoff	26 december 1826
